tick,scale_name,candidate_task_count,candidate_vehicle_count,iteration_count,planning_time_ms,initial_score,best_score,score_improvement,initial_distance,best_distance,initial_lateness,best_lateness,initial_unassigned,best_unassigned,accepted_count,best_destroy,best_repair,destroy_weights,repair_weights
77,large,5,1,120,2.33,-72.96,-72.96,0.0,51.4,51.4,14.4,14.4,4,4,120,,,"[3.4, 2.05, 2.5, 2.05]","[1.9, 2.7, 2.85, 2.55]"
80,large,7,1,120,2.31,-60.64,-60.64,0.0,42.6,42.6,2.6,2.6,6,6,120,,,"[2.25, 2.75, 3.3, 1.7]","[3.1, 2.15, 2.35, 2.4]"
83,large,8,1,120,2.66,-48.14,-48.14,0.0,49.2,49.2,0.0,0.0,7,7,120,,,"[1.95, 2.2, 2.8, 3.05]","[2.5, 2.65, 2.4, 2.45]"
86,large,8,1,120,2.28,-39.66,-39.66,0.0,18.2,18.2,0.0,0.0,7,7,120,,,"[1.9, 2.85, 3.1, 2.15]","[2.95, 2.2, 2.35, 2.5]"
89,large,8,1,120,2.91,-43.45,-43.45,0.0,33.6,33.6,0.0,0.0,7,7,120,,,"[2.7, 1.85, 2.65, 2.8]","[1.6, 2.3, 2.95, 3.15]"
90,large,8,1,120,2.49,-46.28,-46.28,0.0,48.0,48.0,0.0,0.0,7,7,120,,,"[2.3, 2.9, 2.15, 2.65]","[2.7, 2.9, 2.45, 1.95]"
91,large,7,1,120,5.67,-57.0,-20.2,36.8,60.4,60.4,8.4,0.0,5,5,66,random,urgent,"[1.85, 2.9, 1.0, 1.7]","[1.35, 1.95, 2.3, 1.85]"
92,large,5,1,120,2.57,-17.29,-17.29,0.0,17.4,17.4,0.0,0.0,4,4,120,,,"[2.1, 2.75, 2.8, 2.35]","[2.1, 3.1, 2.5, 2.3]"
96,large,6,1,120,2.38,-26.52,-26.52,0.0,25.2,25.2,0.0,0.0,5,5,120,,,"[2.75, 2.5, 2.25, 2.5]","[2.6, 2.2, 2.35, 2.85]"
97,large,5,1,120,2.56,-17.07,-17.07,0.0,8.4,8.4,0.0,0.0,4,4,120,,,"[2.55, 2.9, 2.6, 1.95]","[2.3, 2.1, 3.05, 2.55]"
102,large,5,1,120,2.3,-15.72,-15.72,0.0,15.8,15.8,0.0,0.0,4,4,120,,,"[2.55, 2.1, 2.15, 3.2]","[2.7, 2.2, 2.75, 2.35]"
