run_tag,window_index,tick_end,state,dispatch_action,charge_action,reward,completed_delta,overdue_delta,distance_delta,q_dispatch_before,q_dispatch_after,q_charge_before,q_charge_after,vehicle_count
38795988,25,500,0|0|3|0|0|1,dispatch_urgent_first,charge_task_first,20.528,56,1,1623.6,0.0,5.260828,0.0,5.260828,8
38795988,26,520,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,1.106,3,0,94.7,0.60625,0.860016,0.60625,0.860016,8
38795988,27,540,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,3.974,6,0,101.3,0.860016,1.821265,0.860016,1.821265,8
38795988,28,560,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,0.934,3,0,103.3,1.821265,1.986468,1.821265,1.986468,8
38795988,29,580,0|0|2|0|0|1,dispatch_urgent_first,charge_proactive,3.308,5,0,84.6,1.986468,2.316851,1.986468,2.316851,8
38795988,30,600,0|0|1|0|0|1,dispatch_energy_safe,charge_task_first,2.95,5,0,102.5,0.0,0.7375,0.0,0.7375,8
38795988,31,620,0|0|1|0|0|1,dispatch_energy_safe,charge_task_first,5.02,7,0,99.0,0.7375,1.964844,0.7375,1.964844,8
38795988,32,640,0|0|1|0|0|1,dispatch_energy_safe,charge_task_first,1.922,4,0,103.9,1.964844,1.954133,1.964844,1.954133,8
38795988,33,660,0|0|0|0|0|1,dispatch_bundle_first,charge_balanced,3.416,5,0,79.2,0.0,1.269253,0.0,1.269253,8
38795988,34,680,0|0|1|0|0|1,dispatch_energy_safe,charge_task_first,1.36,3,0,82.0,1.954133,2.220853,1.954133,2.220853,8
38795988,35,700,0|0|1|0|0|1,dispatch_energy_safe,charge_task_first,4.166,6,0,91.7,2.220853,3.179071,2.220853,3.179071,8
38795988,36,720,0|0|1|0|0|1,dispatch_energy_safe,charge_task_first,0.448,2,0,77.6,3.179071,3.171856,3.179071,3.171856,8
38795988,37,740,0|0|1|0|0|1,dispatch_energy_safe,charge_task_first,3.156,4,0,42.2,3.171856,3.167892,3.171856,3.167892,8
38795988,38,760,0|0|2|0|1|1,dispatch_balanced,charge_balanced,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8
38795988,39,780,0|0|4|0|1|1,dispatch_urgent_first,charge_balanced,-0.08,0,0,4.0,0.0,-0.02,0.0,-0.02,8
38795988,40,800,0|0|4|0|3|1,dispatch_balanced,charge_proactive,-110.054,63,34,3552.7,0.0,-27.5135,0.0,-27.5135,15
38795988,41,820,1|3|0|0|0|1,dispatch_bundle_first,charge_proactive,-1.88,10,3,144.0,0.0,-0.47,0.0,-0.47,15
38795988,42,840,1|4|0|0|0|1,dispatch_urgent_first,charge_task_first,0.826,4,0,158.7,0.0,0.2065,0.0,0.2065,15
38795988,43,860,1|4|0|0|0|1,dispatch_urgent_first,charge_task_first,3.92,7,0,154.0,0.2065,1.134875,0.2065,1.134875,15
38795988,44,880,1|4|1|0|0|1,dispatch_urgent_first,charge_proactive,-16.104,5,6,155.2,0.0,-4.026,0.0,-4.026,15
38795988,45,900,1|4|1|0|0|2,dispatch_balanced,charge_balanced,1.094,5,0,195.3,0.0,0.2735,0.0,0.2735,15
38795988,46,920,1|4|1|0|0|2,dispatch_bundle_first,charge_balanced,0.52,7,1,174.0,0.0,0.188119,0.2735,0.393244,15
38795988,47,940,1|4|1|0|0|2,dispatch_balanced,charge_balanced,-3.92,5,2,146.0,0.2735,-0.716756,0.393244,-0.601503,15
38795988,48,960,1|4|1|0|0|2,dispatch_bundle_first,charge_task_first,-14.506,4,5,175.3,0.188119,-3.445436,0.0,-3.6265,15
38795988,49,980,1|4|1|0|0|2,dispatch_bundle_first,charge_proactive,1.164,5,0,191.8,-3.445436,-2.293077,0.0,0.291,15
38795988,50,1000,1|4|1|0|0|2,dispatch_urgent_first,charge_proactive,0.146,7,1,192.7,0.0,0.0365,0.291,0.316587,15
38795988,51,1020,1|4|1|0|0|2,dispatch_urgent_first,charge_balanced,-4.548,5,2,177.4,0.0365,-1.101869,-0.601503,-1.520852,15
38795988,52,1040,1|4|1|0|0|2,dispatch_energy_safe,charge_proactive,-7.652,5,3,182.6,0.0,-1.913,0.316587,-1.608285,15
38795988,53,1060,1|4|1|0|0|2,dispatch_urgent_first,charge_balanced,2.22,9,1,189.0,-1.101869,-0.423712,-1.520852,-0.90882,15
38795988,54,1080,1|4|1|0|0|2,dispatch_urgent_first,charge_balanced,-3.61,3,1,180.5,-0.423712,-1.310323,-0.90882,-1.77724,15
38795988,55,1100,1|4|1|0|0|2,dispatch_balanced,charge_proactive,-0.766,6,1,188.3,-0.716756,-0.881378,-1.608285,-1.739474,15
38795988,56,1120,1|4|1|0|0|2,dispatch_balanced,charge_proactive,0.924,8,1,203.8,-0.881378,-0.430033,-1.739474,-1.073605,15
38795988,57,1140,1|4|0|0|0|2,dispatch_balanced,charge_balanced,-1.922,5,1,196.1,0.0,-0.4805,0.0,-0.4805,15
38795988,58,1160,1|4|0|0|0|2,dispatch_urgent_first,charge_proactive,-3.554,6,2,177.7,0.0,-0.8885,0.0,-0.8885,15
38795988,59,1180,1|4|0|0|0|2,dispatch_energy_safe,charge_task_first,-0.298,6,1,164.9,0.0,-0.0745,0.0,-0.0745,15
38795988,60,1200,1|4|0|0|0|2,dispatch_bundle_first,charge_task_first,-3.086,6,2,154.3,0.0,-0.7715,-0.0745,-0.827375,15
