scale,strategy,round,seed,total_score,completed_tasks,total_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,failure_tick,failure_reason,completion_rate
medium,genetic_hyper,1,354787187,7758.66,160,162,15,0.0926,2917.3,False,,,0.9877
medium,genetic_hyper,2,1866801784,6138.09,151,162,33,0.2037,2990.7,False,,,0.9321
medium,genetic_hyper,3,736577488,6531.66,155,162,26,0.1605,3042.4,False,,,0.9568
medium,genetic_hyper,4,108402446,7407.0,148,162,25,0.1543,3003.0,False,,,0.9136
medium,genetic_hyper,5,550665828,6542.55,161,162,19,0.1173,2983.3,False,,,0.9938
medium,energy_aware_alns,1,354787187,7614.62,159,162,18,0.1111,2886.8,False,,,0.9815
medium,energy_aware_alns,2,1866801784,6871.27,154,162,28,0.1728,2962.1,False,,,0.9506
medium,energy_aware_alns,3,736577488,7209.29,155,162,25,0.1543,3022.6,False,,,0.9568
medium,energy_aware_alns,4,108402446,6103.49,150,162,32,0.1975,2882.1,False,,,0.9259
medium,energy_aware_alns,5,550665828,7160.62,162,162,22,0.1358,2942.1,False,,,1.0
medium,time_first_bundle,1,354787187,6078.85,158,162,26,0.1605,2885.2,False,,,0.9753
medium,time_first_bundle,2,1866801784,6324.57,151,162,31,0.1914,2959.7,False,,,0.9321
medium,time_first_bundle,3,736577488,5856.55,149,162,33,0.2037,2872.4,False,,,0.9198
medium,time_first_bundle,4,108402446,6295.41,145,162,34,0.2099,2900.0,False,,,0.8951
medium,time_first_bundle,5,550665828,5803.72,158,162,25,0.1543,2877.6,False,,,0.9753
medium,max_weight,1,354787187,6151.17,128,159,31,0.195,2513.0,True,686,车辆#6电量不足，无法从节点11行驶到节点9,0.805
medium,max_weight,2,1866801784,4160.54,130,162,50,0.3086,2902.5,False,,,0.8025
medium,max_weight,3,736577488,4488.1,115,149,38,0.255,2375.3,True,674,车辆#4电量不足，无法从节点18行驶到节点17,0.7718
medium,max_weight,4,108402446,3859.3,132,162,56,0.3457,2972.7,False,,,0.8148
medium,max_weight,5,550665828,6115.53,146,162,34,0.2099,2937.8,False,,,0.9012
medium,nearest_task,1,354787187,6470.01,144,162,31,0.1914,2870.5,False,,,0.8889
medium,nearest_task,2,1866801784,3995.26,131,162,51,0.3148,2906.4,False,,,0.8086
medium,nearest_task,3,736577488,4375.1,134,162,50,0.3086,2835.5,False,,,0.8272
medium,nearest_task,4,108402446,4942.64,134,162,46,0.284,2957.4,False,,,0.8272
medium,nearest_task,5,550665828,5519.28,143,162,42,0.2593,2883.9,False,,,0.8827
medium,mappo,1,354787187,7404.12,160,162,17,0.1049,2978.2,False,,,0.9877
medium,mappo,2,1866801784,5456.94,148,162,36,0.2222,3036.2,False,,,0.9136
medium,mappo,3,736577488,6513.45,155,162,24,0.1481,3105.1,False,,,0.9568
medium,mappo,4,108402446,3549.91,145,162,55,0.3395,3074.4,False,,,0.8951
medium,mappo,5,550665828,7387.2,159,162,17,0.1049,3021.2,False,,,0.9815
