scale,strategy,round,seed,total_score,completed_tasks,total_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,failure_tick,failure_reason,completion_rate
medium,genetic_hyper,1,354787187,-983.5,237,486,288,0.5926,3474.8,False,,,0.4877
medium,genetic_hyper,2,1866801784,-2476.6,221,486,299,0.6152,3404.5,False,,,0.4547
medium,genetic_hyper,3,736577488,218.0,228,486,291,0.5988,3466.8,False,,,0.4691
medium,genetic_hyper,4,108402446,723.79,224,486,287,0.5905,3433.3,False,,,0.4609
medium,genetic_hyper,5,550665828,641.72,226,486,288,0.5926,3435.6,False,,,0.465
medium,energy_aware_alns,1,354787187,-1691.0,262,486,321,0.6605,3414.7,False,,,0.5391
medium,energy_aware_alns,2,1866801784,-19520.82,215,486,413,0.8498,3558.8,False,,,0.4424
medium,energy_aware_alns,3,736577488,-14646.71,210,486,398,0.8189,3667.4,False,,,0.4321
medium,energy_aware_alns,4,108402446,-7890.39,239,486,344,0.7078,3506.0,False,,,0.4918
medium,energy_aware_alns,5,550665828,-18431.02,224,486,386,0.7942,3592.2,False,,,0.4609
medium,time_first_bundle,1,354787187,952.4,234,486,282,0.5802,3419.1,False,,,0.4815
medium,time_first_bundle,2,1866801784,990.12,215,486,294,0.6049,3404.4,False,,,0.4424
medium,time_first_bundle,3,736577488,-1854.81,226,486,299,0.6152,3456.3,False,,,0.465
medium,time_first_bundle,4,108402446,2893.83,218,486,285,0.5864,3514.0,False,,,0.4486
medium,time_first_bundle,5,550665828,285.59,223,486,291,0.5988,3385.2,False,,,0.4588
medium,max_weight,1,354787187,-716.53,177,486,343,0.7058,3740.7,False,,,0.3642
medium,max_weight,2,1866801784,-2020.57,164,486,356,0.7325,3673.6,False,,,0.3374
medium,max_weight,3,736577488,-1942.33,176,486,348,0.716,3657.5,False,,,0.3621
medium,max_weight,4,108402446,-868.6,178,486,338,0.6955,3735.6,False,,,0.3663
medium,max_weight,5,550665828,-2119.77,172,486,345,0.7099,3735.0,False,,,0.3539
medium,nearest_task,1,354787187,6030.74,237,486,275,0.5658,3358.6,False,,,0.4877
medium,nearest_task,2,1866801784,1619.09,222,486,298,0.6132,3411.4,False,,,0.4568
medium,nearest_task,3,736577488,3239.26,228,486,292,0.6008,3401.2,False,,,0.4691
medium,nearest_task,4,108402446,3747.06,236,486,285,0.5864,3434.2,False,,,0.4856
medium,nearest_task,5,550665828,5154.9,229,486,281,0.5782,3382.8,False,,,0.4712
medium,mappo,1,354787187,-8408.55,3,486,478,0.9835,59.6,False,,,0.0062
medium,mappo,2,1866801784,-8305.96,3,486,472,0.9712,70.4,False,,,0.0062
medium,mappo,3,736577488,-8337.71,4,486,478,0.9835,61.2,False,,,0.0082
medium,mappo,4,108402446,-8240.51,4,486,473,0.9733,77.8,False,,,0.0082
medium,mappo,5,550665828,-8349.87,2,486,470,0.9671,59.8,False,,,0.0041
