experiment,generation,candidate,fitness,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
energy_rate_2_0,1,1,6414.175,genetic_hyper_extra_training,2,0,0.0,6095.5,69.14,6026.36,6164.64,147.5,4.5,143.0,152.0,162.0,0.0,162.0,162.0,32.0,2.0,30.0,34.0,0.1976,0.0123,0.1852,0.2099,2835.55,145.15,2690.4,2980.7,0.9105,0.0278,0.8827,0.9383
energy_rate_2_0,1,2,6501.115,genetic_hyper_extra_training,2,0,0.0,6185.695,147.085,6038.61,6332.78,146.0,4.0,142.0,150.0,162.0,0.0,162.0,162.0,32.5,2.5,30.0,35.0,0.2006,0.0154,0.1852,0.216,2841.05,153.55,2687.5,2994.6,0.9012,0.0247,0.8765,0.9259
energy_rate_2_0,1,3,7061.625,genetic_hyper_extra_training,2,0,0.0,6744.035,588.585,6155.45,7332.62,147.0,4.0,143.0,151.0,162.0,0.0,162.0,162.0,28.5,4.5,24.0,33.0,0.1759,0.0278,0.1481,0.2037,2810.25,152.25,2658.0,2962.5,0.9074,0.0247,0.8827,0.9321
energy_rate_2_0,1,4,6012.51,genetic_hyper_extra_training,2,0,0.0,5701.395,703.605,4997.79,6405.0,144.0,5.0,139.0,149.0,162.0,0.0,162.0,162.0,36.5,5.5,31.0,42.0,0.2253,0.0339,0.1914,0.2593,2779.35,167.45,2611.9,2946.8,0.8889,0.0309,0.858,0.9198
energy_rate_2_0,1,5,6330.72,genetic_hyper_extra_training,2,0,0.0,6016.35,2.62,6013.73,6018.97,145.5,3.5,142.0,149.0,162.0,0.0,162.0,162.0,34.0,1.0,33.0,35.0,0.2098,0.0062,0.2037,0.216,2799.3,140.8,2658.5,2940.1,0.8982,0.0217,0.8765,0.9198
energy_rate_2_0,1,6,7041.6,genetic_hyper_extra_training,2,0,0.0,6722.925,307.625,6415.3,7030.55,147.5,1.5,146.0,149.0,162.0,0.0,162.0,162.0,28.5,1.5,27.0,30.0,0.1759,0.0093,0.1667,0.1852,2870.8,103.4,2767.4,2974.2,0.9105,0.0093,0.9012,0.9198
energy_rate_2_0,1,7,6407.115,genetic_hyper_extra_training,2,0,0.0,6087.355,203.355,5884.0,6290.71,148.0,4.0,144.0,152.0,162.0,0.0,162.0,162.0,32.5,3.5,29.0,36.0,0.2006,0.0216,0.179,0.2222,2832.7,137.7,2695.0,2970.4,0.9136,0.0247,0.8889,0.9383
energy_rate_2_0,1,8,6642.9,genetic_hyper_extra_training,2,0,0.0,6324.225,507.645,5816.58,6831.87,147.5,2.5,145.0,150.0,162.0,0.0,162.0,162.0,30.5,2.5,28.0,33.0,0.1883,0.0154,0.1728,0.2037,2842.95,116.05,2726.9,2959.0,0.9105,0.0154,0.8951,0.9259
energy_rate_2_0,2,1,7061.625,genetic_hyper_extra_training,2,0,0.0,6744.035,588.585,6155.45,7332.62,147.0,4.0,143.0,151.0,162.0,0.0,162.0,162.0,28.5,4.5,24.0,33.0,0.1759,0.0278,0.1481,0.2037,2810.25,152.25,2658.0,2962.5,0.9074,0.0247,0.8827,0.9321
energy_rate_2_0,2,2,7041.6,genetic_hyper_extra_training,2,0,0.0,6722.925,307.625,6415.3,7030.55,147.5,1.5,146.0,149.0,162.0,0.0,162.0,162.0,28.5,1.5,27.0,30.0,0.1759,0.0093,0.1667,0.1852,2870.8,103.4,2767.4,2974.2,0.9105,0.0093,0.9012,0.9198
energy_rate_2_0,2,3,7061.625,genetic_hyper_extra_training,2,0,0.0,6744.035,588.585,6155.45,7332.62,147.0,4.0,143.0,151.0,162.0,0.0,162.0,162.0,28.5,4.5,24.0,33.0,0.1759,0.0278,0.1481,0.2037,2810.25,152.25,2658.0,2962.5,0.9074,0.0247,0.8827,0.9321
energy_rate_2_0,2,4,6412.9,genetic_hyper_extra_training,2,0,0.0,6098.53,210.0,5888.53,6308.53,145.5,3.5,142.0,149.0,162.0,0.0,162.0,162.0,32.5,2.5,30.0,35.0,0.2006,0.0154,0.1852,0.216,2826.85,148.25,2678.6,2975.1,0.8982,0.0217,0.8765,0.9198
energy_rate_2_0,2,5,6343.28,genetic_hyper_extra_training,2,0,0.0,6026.775,96.535,5930.24,6123.31,146.5,3.5,143.0,150.0,162.0,0.0,162.0,162.0,33.0,1.0,32.0,34.0,0.2037,0.0062,0.1975,0.2099,2835.45,146.85,2688.6,2982.3,0.9043,0.0216,0.8827,0.9259
energy_rate_2_0,2,6,6765.68,genetic_hyper_extra_training,2,0,0.0,6448.09,407.63,6040.46,6855.72,147.0,4.0,143.0,151.0,162.0,0.0,162.0,162.0,30.5,2.5,28.0,33.0,0.1883,0.0154,0.1728,0.2037,2854.55,146.35,2708.2,3000.9,0.9074,0.0247,0.8827,0.9321
energy_rate_2_0,2,7,6638.225,genetic_hyper_extra_training,2,0,0.0,6324.975,201.415,6123.56,6526.39,145.0,3.0,142.0,148.0,162.0,0.0,162.0,162.0,32.5,2.5,30.0,35.0,0.2006,0.0154,0.1852,0.216,2831.8,140.7,2691.1,2972.5,0.895,0.0186,0.8765,0.9136
energy_rate_2_0,2,8,6435.425,genetic_hyper_extra_training,2,0,0.0,6116.75,352.37,5764.38,6469.12,147.5,3.5,144.0,151.0,162.0,0.0,162.0,162.0,32.5,3.5,29.0,36.0,0.2006,0.0216,0.179,0.2222,2849.25,150.65,2698.6,2999.9,0.9105,0.0216,0.8889,0.9321
energy_rate_2_0,3,1,7061.625,genetic_hyper_extra_training,2,0,0.0,6744.035,588.585,6155.45,7332.62,147.0,4.0,143.0,151.0,162.0,0.0,162.0,162.0,28.5,4.5,24.0,33.0,0.1759,0.0278,0.1481,0.2037,2810.25,152.25,2658.0,2962.5,0.9074,0.0247,0.8827,0.9321
energy_rate_2_0,3,2,7061.625,genetic_hyper_extra_training,2,0,0.0,6744.035,588.585,6155.45,7332.62,147.0,4.0,143.0,151.0,162.0,0.0,162.0,162.0,28.5,4.5,24.0,33.0,0.1759,0.0278,0.1481,0.2037,2810.25,152.25,2658.0,2962.5,0.9074,0.0247,0.8827,0.9321
energy_rate_2_0,3,3,6903.305,genetic_hyper_extra_training,2,0,0.0,6588.935,322.205,6266.73,6911.14,145.5,3.5,142.0,149.0,162.0,0.0,162.0,162.0,30.5,2.5,28.0,33.0,0.1883,0.0154,0.1728,0.2037,2809.4,145.6,2663.8,2955.0,0.8982,0.0217,0.8765,0.9198
