experiment,generation,candidate,fitness,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
extreme_load,1,1,-1540.515,genetic_hyper_extra_training,2,0,0.0,-1699.31,1292.71,-2992.02,-406.6,220.5,3.5,217.0,224.0,486.0,0.0,486.0,486.0,294.0,3.0,291.0,297.0,0.6049,0.0061,0.5988,0.6111,3408.8,39.1,3369.7,3447.9,0.4537,0.0072,0.4465,0.4609
extreme_load,1,2,-867.505,genetic_hyper_extra_training,2,0,0.0,-1022.345,1182.155,-2204.5,159.81,215.0,4.0,211.0,219.0,486.0,0.0,486.0,486.0,302.5,6.5,296.0,309.0,0.6224,0.0134,0.6091,0.6358,3396.05,43.65,3352.4,3439.7,0.4424,0.0082,0.4342,0.4506
extreme_load,1,3,498.18,genetic_hyper_extra_training,2,0,0.0,340.12,1701.74,-1361.62,2041.86,219.5,3.5,216.0,223.0,486.0,0.0,486.0,486.0,292.0,8.0,284.0,300.0,0.6008,0.0164,0.5844,0.6173,3411.25,36.05,3375.2,3447.3,0.4516,0.0072,0.4444,0.4588
extreme_load,1,4,-1329.29,genetic_hyper_extra_training,2,0,0.0,-1485.915,324.735,-1810.65,-1161.18,217.5,5.5,212.0,223.0,486.0,0.0,486.0,486.0,299.0,5.0,294.0,304.0,0.6152,0.0103,0.6049,0.6255,3382.35,8.55,3373.8,3390.9,0.4475,0.0113,0.4362,0.4588
extreme_load,1,5,-847.555,genetic_hyper_extra_training,2,0,0.0,-1005.615,2322.855,-3328.47,1317.24,219.5,3.5,216.0,223.0,486.0,0.0,486.0,486.0,295.0,9.0,286.0,304.0,0.607,0.0185,0.5885,0.6255,3409.3,45.7,3363.6,3455.0,0.4516,0.0072,0.4444,0.4588
extreme_load,1,6,-722.425,genetic_hyper_extra_training,2,0,0.0,-879.085,1375.185,-2254.27,496.1,217.5,4.5,213.0,222.0,486.0,0.0,486.0,486.0,295.0,7.0,288.0,302.0,0.607,0.0144,0.5926,0.6214,3428.85,24.25,3404.6,3453.1,0.4476,0.0092,0.4383,0.4568
extreme_load,1,7,51.185,genetic_hyper_extra_training,2,0,0.0,-105.44,719.44,-824.88,614.0,217.5,5.5,212.0,223.0,486.0,0.0,486.0,486.0,295.5,7.5,288.0,303.0,0.608,0.0155,0.5926,0.6235,3404.3,11.4,3392.9,3415.7,0.4475,0.0113,0.4362,0.4588
extreme_load,1,8,-549.0,genetic_hyper_extra_training,2,0,0.0,-705.625,347.395,-1053.02,-358.23,217.5,5.5,212.0,223.0,486.0,0.0,486.0,486.0,298.5,5.5,293.0,304.0,0.6142,0.0113,0.6029,0.6255,3421.25,5.45,3415.8,3426.7,0.4475,0.0113,0.4362,0.4588
extreme_load,2,1,498.18,genetic_hyper_extra_training,2,0,0.0,340.12,1701.74,-1361.62,2041.86,219.5,3.5,216.0,223.0,486.0,0.0,486.0,486.0,292.0,8.0,284.0,300.0,0.6008,0.0164,0.5844,0.6173,3411.25,36.05,3375.2,3447.3,0.4516,0.0072,0.4444,0.4588
extreme_load,2,2,51.185,genetic_hyper_extra_training,2,0,0.0,-105.44,719.44,-824.88,614.0,217.5,5.5,212.0,223.0,486.0,0.0,486.0,486.0,295.5,7.5,288.0,303.0,0.608,0.0155,0.5926,0.6235,3404.3,11.4,3392.9,3415.7,0.4475,0.0113,0.4362,0.4588
