experiment,generation,candidate,fitness,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
peak_gaussian,1,1,-7097.835,genetic_hyper_extra_training,2,0,0.0,-7428.41,1231.46,-8659.87,-6196.95,153.0,1.0,152.0,154.0,162.0,0.0,162.0,162.0,80.5,3.5,77.0,84.0,0.4969,0.0216,0.4753,0.5185,3102.2,7.4,3094.8,3109.6,0.9445,0.0061,0.9383,0.9506
peak_gaussian,1,2,-6981.58,genetic_hyper_extra_training,2,0,0.0,-7313.205,1968.655,-9281.86,-5344.55,153.5,0.5,153.0,154.0,162.0,0.0,162.0,162.0,78.0,4.0,74.0,82.0,0.4815,0.0247,0.4568,0.5062,3091.0,6.0,3085.0,3097.0,0.9475,0.0031,0.9444,0.9506
peak_gaussian,1,3,-6824.625,genetic_hyper_extra_training,2,0,0.0,-7153.03,1123.77,-8276.8,-6029.26,152.0,0.0,152.0,152.0,162.0,0.0,162.0,162.0,79.5,2.5,77.0,82.0,0.4908,0.0154,0.4753,0.5062,3103.15,2.45,3100.7,3105.6,0.9383,0.0,0.9383,0.9383
peak_gaussian,1,4,-7019.295,genetic_hyper_extra_training,2,0,0.0,-7348.785,1238.565,-8587.35,-6110.22,152.5,1.5,151.0,154.0,162.0,0.0,162.0,162.0,80.5,5.5,75.0,86.0,0.497,0.034,0.463,0.5309,3081.4,1.8,3079.6,3083.2,0.9414,0.0092,0.9321,0.9506
peak_gaussian,1,5,-6559.085,genetic_hyper_extra_training,2,0,0.0,-6889.66,1355.51,-8245.17,-5534.15,153.0,1.0,152.0,154.0,162.0,0.0,162.0,162.0,79.5,3.5,76.0,83.0,0.4907,0.0216,0.4691,0.5123,3109.05,5.85,3103.2,3114.9,0.9445,0.0061,0.9383,0.9506
peak_gaussian,1,6,-7427.36,genetic_hyper_extra_training,2,0,0.0,-7756.85,985.09,-8741.94,-6771.76,152.5,0.5,152.0,153.0,162.0,0.0,162.0,162.0,82.5,2.5,80.0,85.0,0.5092,0.0155,0.4938,0.5247,3106.45,4.25,3102.2,3110.7,0.9414,0.003,0.9383,0.9444
peak_gaussian,1,7,-6745.36,genetic_hyper_extra_training,2,0,0.0,-7073.765,956.835,-8030.6,-6116.93,152.0,1.0,151.0,153.0,162.0,0.0,162.0,162.0,80.0,2.0,78.0,82.0,0.4939,0.0123,0.4815,0.5062,3107.1,4.7,3102.4,3111.8,0.9383,0.0061,0.9321,0.9444
peak_gaussian,1,8,-6948.215,genetic_hyper_extra_training,2,0,0.0,-7277.705,1291.645,-8569.35,-5986.06,152.5,0.5,152.0,153.0,162.0,0.0,162.0,162.0,80.0,3.0,77.0,83.0,0.4938,0.0185,0.4753,0.5123,3104.2,4.2,3100.0,3108.4,0.9414,0.003,0.9383,0.9444
peak_gaussian,2,1,-6559.085,genetic_hyper_extra_training,2,0,0.0,-6889.66,1355.51,-8245.17,-5534.15,153.0,1.0,152.0,154.0,162.0,0.0,162.0,162.0,79.5,3.5,76.0,83.0,0.4907,0.0216,0.4691,0.5123,3109.05,5.85,3103.2,3114.9,0.9445,0.0061,0.9383,0.9506
peak_gaussian,2,2,-6745.36,genetic_hyper_extra_training,2,0,0.0,-7073.765,956.835,-8030.6,-6116.93,152.0,1.0,151.0,153.0,162.0,0.0,162.0,162.0,80.0,2.0,78.0,82.0,0.4939,0.0123,0.4815,0.5062,3107.1,4.7,3102.4,3111.8,0.9383,0.0061,0.9321,0.9444
