experiment,generation,candidate,fitness,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
random_traffic,1,1,6829.765,genetic_hyper_extra_training,2,0,0.0,6480.85,1343.15,5137.7,7824.0,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,18.0,7.0,11.0,25.0,0.1111,0.0432,0.0679,0.1543,3232.5,146.9,3085.6,3379.4,0.9969,0.0031,0.9938,1.0
random_traffic,1,2,6362.84,genetic_hyper_extra_training,2,0,0.0,6012.84,1301.44,4711.4,7314.28,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,17.0,3.0,14.0,20.0,0.105,0.0185,0.0864,0.1235,3218.55,136.95,3081.6,3355.5,1.0,0.0,1.0,1.0
random_traffic,1,3,6638.65,genetic_hyper_extra_training,2,0,0.0,6289.735,1066.135,5223.6,7355.87,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,18.5,5.5,13.0,24.0,0.1142,0.034,0.0802,0.1481,3229.2,151.2,3078.0,3380.4,0.9969,0.0031,0.9938,1.0
random_traffic,1,4,5916.17,genetic_hyper_extra_training,2,0,0.0,5567.255,1175.425,4391.83,6742.68,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,21.0,4.0,17.0,25.0,0.1296,0.0247,0.1049,0.1543,3219.43,151.8,3067.63,3371.23,0.9969,0.0031,0.9938,1.0
random_traffic,1,5,6488.62,genetic_hyper_extra_training,2,0,0.0,6140.755,1054.955,5085.8,7195.71,161.0,1.0,160.0,162.0,162.0,0.0,162.0,162.0,18.5,3.5,15.0,22.0,0.1142,0.0216,0.0926,0.1358,3217.2,173.5,3043.7,3390.7,0.9939,0.0061,0.9877,1.0
random_traffic,1,6,6221.8,genetic_hyper_extra_training,2,0,0.0,5872.885,791.515,5081.37,6664.4,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,21.0,1.0,20.0,22.0,0.1296,0.0062,0.1235,0.1358,3209.535,155.135,3054.4,3364.67,0.9969,0.0031,0.9938,1.0
random_traffic,1,7,6516.025,genetic_hyper_extra_training,2,0,0.0,6167.11,1057.1,5110.01,7224.21,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,17.5,4.5,13.0,22.0,0.108,0.0278,0.0802,0.1358,3205.435,133.335,3072.1,3338.77,0.9969,0.0031,0.9938,1.0
random_traffic,1,8,6682.085,genetic_hyper_extra_training,2,0,0.0,6332.085,1216.505,5115.58,7548.59,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,17.5,2.5,15.0,20.0,0.1081,0.0154,0.0926,0.1235,3230.1,145.1,3085.0,3375.2,1.0,0.0,1.0,1.0
random_traffic,2,1,6829.765,genetic_hyper_extra_training,2,0,0.0,6480.85,1343.15,5137.7,7824.0,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,18.0,7.0,11.0,25.0,0.1111,0.0432,0.0679,0.1543,3232.5,146.9,3085.6,3379.4,0.9969,0.0031,0.9938,1.0
random_traffic,2,2,6682.085,genetic_hyper_extra_training,2,0,0.0,6332.085,1216.505,5115.58,7548.59,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,17.5,2.5,15.0,20.0,0.1081,0.0154,0.0926,0.1235,3230.1,145.1,3085.0,3375.2,1.0,0.0,1.0,1.0
random_traffic,2,3,6193.13,genetic_hyper_extra_training,2,0,0.0,5844.215,1212.975,4631.24,7057.19,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,21.0,5.0,16.0,26.0,0.1296,0.0309,0.0988,0.1605,3206.465,137.565,3068.9,3344.03,0.9969,0.0031,0.9938,1.0
random_traffic,2,4,6592.02,genetic_hyper_extra_training,2,0,0.0,6242.02,775.61,5466.41,7017.63,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,18.0,2.0,16.0,20.0,0.1111,0.0123,0.0988,0.1235,3219.8,140.6,3079.2,3360.4,1.0,0.0,1.0,1.0
random_traffic,2,5,6471.095,genetic_hyper_extra_training,2,0,0.0,6121.095,993.335,5127.76,7114.43,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,20.5,4.5,16.0,25.0,0.1265,0.0277,0.0988,0.1543,3212.515,128.415,3084.1,3340.93,1.0,0.0,1.0,1.0
random_traffic,2,6,6561.985,genetic_hyper_extra_training,2,0,0.0,6213.07,1191.59,5021.48,7404.66,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,19.0,4.0,15.0,23.0,0.1173,0.0247,0.0926,0.142,3211.8,158.8,3053.0,3370.6,0.9969,0.0031,0.9938,1.0
random_traffic,2,7,6682.085,genetic_hyper_extra_training,2,0,0.0,6332.085,1216.505,5115.58,7548.59,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,17.5,2.5,15.0,20.0,0.1081,0.0154,0.0926,0.1235,3230.1,145.1,3085.0,3375.2,1.0,0.0,1.0,1.0
random_traffic,2,8,6184.94,genetic_hyper_extra_training,2,0,0.0,5837.11,1457.81,4379.3,7294.92,161.0,0.0,161.0,161.0,162.0,0.0,162.0,162.0,20.5,5.5,15.0,26.0,0.1265,0.034,0.0926,0.1605,3223.55,150.25,3073.3,3373.8,0.9938,0.0,0.9938,0.9938
random_traffic,3,1,6829.765,genetic_hyper_extra_training,2,0,0.0,6480.85,1343.15,5137.7,7824.0,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,18.0,7.0,11.0,25.0,0.1111,0.0432,0.0679,0.1543,3232.5,146.9,3085.6,3379.4,0.9969,0.0031,0.9938,1.0
random_traffic,3,2,6682.085,genetic_hyper_extra_training,2,0,0.0,6332.085,1216.505,5115.58,7548.59,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,17.5,2.5,15.0,20.0,0.1081,0.0154,0.0926,0.1235,3230.1,145.1,3085.0,3375.2,1.0,0.0,1.0,1.0
random_traffic,3,3,6682.215,genetic_hyper_extra_training,2,0,0.0,6332.215,1194.515,5137.7,7526.73,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,18.0,7.0,11.0,25.0,0.1111,0.0432,0.0679,0.1543,3229.55,149.85,3079.7,3379.4,1.0,0.0,1.0,1.0
random_traffic,3,4,6682.085,genetic_hyper_extra_training,2,0,0.0,6332.085,1216.505,5115.58,7548.59,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,17.5,2.5,15.0,20.0,0.1081,0.0154,0.0926,0.1235,3230.1,145.1,3085.0,3375.2,1.0,0.0,1.0,1.0
random_traffic,3,5,6396.66,genetic_hyper_extra_training,2,0,0.0,6047.745,645.455,5402.29,6693.2,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,19.5,1.5,18.0,21.0,0.1203,0.0092,0.1111,0.1296,3186.6,133.7,3052.9,3320.3,0.9969,0.0031,0.9938,1.0
random_traffic,3,6,6232.735,genetic_hyper_extra_training,2,0,0.0,5883.82,1067.11,4816.71,6950.93,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,21.0,5.0,16.0,26.0,0.1296,0.0309,0.0988,0.1605,3196.5,153.8,3042.7,3350.3,0.9969,0.0031,0.9938,1.0
random_traffic,3,7,6740.84,genetic_hyper_extra_training,2,0,0.0,6391.925,1276.345,5115.58,7668.27,161.5,0.5,161.0,162.0,162.0,0.0,162.0,162.0,15.5,4.5,11.0,20.0,0.0957,0.0278,0.0679,0.1235,3201.1,174.1,3027.0,3375.2,0.9969,0.0031,0.9938,1.0
