stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,1,20260403,9850.3048,9717.13,162,2,0.0123,3369.8,False,800,-0.000104,49175.807891,0.169551
medium,2,20260404,10331.7149,10223.6,162,2,0.0123,3144.0,False,800,-0.00174,49936.721484,0.191666
medium,3,20260405,10150.2807,10020.01,162,2,0.0123,3238.4,False,800,-0.000385,37298.932109,0.1769
medium,4,20260406,9757.7964,9647.35,162,3,0.0185,3247.4,False,800,-0.001398,23430.080361,0.181821
medium,5,20260407,9571.0604,9435.48,162,4,0.0247,3391.8,False,800,-0.00119,13314.074141,0.150194
medium,6,20260408,9980.8561,9857.24,162,3,0.0185,3453.4,False,800,-0.002174,11844.352876,0.150005
medium,7,20260409,9352.3365,9217.89,162,3,0.0185,3428.2,False,800,-0.000484,10493.932354,0.145322
medium,8,20260410,8179.7383,8031.21,162,12,0.0741,3562.2,False,800,-0.001465,8965.22522,0.113177
medium,9,20260411,9724.5637,9602.85,162,3,0.0185,3271.8,False,800,-0.000888,10595.456694,0.135144
medium,10,20260412,10188.6301,10072.17,162,1,0.0062,3321.8,False,800,-0.000864,11585.25541,0.116454
medium,11,20260413,9584.9483,9473.78,162,3,0.0185,3203.4,False,800,-0.00019,16076.494111,0.137292
medium,12,20260414,9767.3315,9670.55,162,3,0.0185,3361.0,False,800,-0.001731,15326.634541,0.130436
medium,13,20260415,10423.4937,10345.69,162,1,0.0062,3180.8,False,800,-0.000196,18787.44082,0.149968
medium,14,20260416,10439.7119,10398.09,162,0,0.0,3098.8,False,800,-0.000101,15206.25127,0.153597
medium,15,20260417,10232.5007,10121.54,162,0,0.0,3458.2,False,800,-0.000131,14453.716729,0.114004
medium,16,20260418,10367.6421,10301.15,162,0,0.0,3295.2,False,800,-0.000265,15695.671289,0.126851
medium,17,20260419,9890.4674,9785.01,162,0,0.0,3437.8,False,800,-0.000381,17747.850352,0.118024
medium,18,20260420,9913.9988,9843.3,162,0,0.0,3472.4,False,800,-0.000865,13089.401797,0.113799
medium,19,20260421,9317.382,9233.14,162,3,0.0185,3453.0,False,800,-0.001567,18195.918965,0.099549
medium,20,20260422,10292.3028,10238.02,162,1,0.0062,3272.8,False,800,-0.000444,16634.688545,0.130538
medium,21,20260423,8877.2192,8793.72,162,6,0.037,3567.2,False,800,-0.000263,19498.829814,0.111523
medium,22,20260424,9854.3797,9796.21,162,1,0.0062,3305.8,False,800,-0.001607,14365.40208,0.127747
medium,23,20260425,10252.5659,10203.36,162,0,0.0,3461.8,False,800,-0.000247,13202.632275,0.108963
medium,24,20260426,9121.9119,9042.41,162,3,0.0185,3502.4,False,800,-0.00129,14228.228633,0.112208
medium,25,20260427,9826.9367,9751.44,162,1,0.0062,3513.6,False,800,-0.000143,14794.656113,0.123899
medium,26,20260428,10141.5644,10119.62,162,2,0.0123,3203.8,False,800,-0.000267,12872.724512,0.159891
medium,27,20260429,10262.7916,10233.97,162,0,0.0,3206.8,False,800,-0.001198,15732.1779,0.153215
medium,28,20260430,9864.9241,9811.05,162,2,0.0123,3372.6,False,800,-9.1e-05,13536.108203,0.126494
medium,29,20260431,10258.651,10248.68,162,0,0.0,3110.4,False,800,-0.000164,13747.321787,0.156032
medium,30,20260432,9926.1849,9922.7,162,2,0.0123,3274.8,False,800,-0.001595,15104.802744,0.126312
medium,31,20260433,9801.3093,9742.86,162,3,0.0185,3451.2,False,800,-0.000276,13011.174102,0.110011
medium,32,20260434,9414.6533,9356.21,162,5,0.0309,3306.0,False,800,-0.000682,13813.043281,0.115302
medium,33,20260435,9852.5921,9796.15,162,3,0.0185,3349.4,False,800,-0.001586,12883.184717,0.124107
medium,34,20260436,10092.7005,10043.5,162,1,0.0062,3234.2,False,800,-0.000741,13164.608643,0.136929
medium,35,20260437,9891.2088,9832.44,162,1,0.0062,3249.4,False,800,-0.000345,11188.818643,0.137028
medium,36,20260438,9497.8989,9403.73,162,3,0.0185,3735.6,False,800,-0.00142,12406.524766,0.070655
medium,37,20260439,9282.7306,9236.1,162,5,0.0309,3525.6,False,800,-0.000154,8997.510972,0.092831
medium,38,20260440,9475.5151,9424.11,162,5,0.0309,3564.8,False,800,-0.000176,9524.874268,0.095789
medium,39,20260441,10354.0509,10359.1,162,0,0.0,3058.8,False,800,-1.7e-05,10317.662183,0.151005
medium,40,20260442,9554.0026,9494.33,162,3,0.0185,3383.6,False,800,-0.000658,11177.199502,0.129031
medium,41,20260443,10298.8893,10253.12,162,0,0.0,3394.2,False,800,-0.000354,11877.173916,0.118859
medium,42,20260444,9928.3808,9832.1,162,2,0.0123,3573.4,False,800,-0.00045,8052.969282,0.104151
medium,43,20260445,10309.6419,10266.28,162,0,0.0,3167.6,False,800,-0.000436,15694.523857,0.154043
medium,44,20260446,8510.4823,8414.17,162,9,0.0556,3453.0,False,800,-0.000758,10625.775078,0.122625
medium,45,20260447,9404.2975,9337.89,162,7,0.0432,3229.0,False,800,-0.000752,15599.762568,0.145397
medium,46,20260448,9658.0527,9560.9,162,4,0.0247,3485.2,False,800,-0.000403,10289.174644,0.102412
medium,47,20260449,9407.4099,9355.59,162,5,0.0309,3186.6,False,800,-0.002231,11089.319639,0.136551
medium,48,20260450,9925.7456,9856.27,162,3,0.0185,3229.6,False,800,-0.000738,15262.766465,0.114327
medium,49,20260451,9561.5538,9480.03,162,5,0.0309,3418.2,False,800,-0.000269,13200.330918,0.097687
medium,50,20260452,9235.0128,9130.73,162,9,0.0556,3562.6,False,800,-0.000647,6904.559468,0.111066
medium,51,20260453,9822.1081,9716.64,162,3,0.0185,3383.2,False,800,-0.000398,5953.180164,0.115715
medium,52,20260454,10235.9764,10158.2,162,1,0.0062,3351.0,False,800,-0.000174,7264.518665,0.126205
medium,53,20260455,9442.7958,9354.99,162,6,0.037,3488.0,False,800,-0.000434,12295.488447,0.096851
