stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,1,20260403,-24738.3228,-24566.61,179,450,0.9259,3596.9,False,800,-0.000918,397359.686875,0.096282
medium,2,20260404,-23560.8392,-23396.88,178,451,0.928,3594.5,False,800,-0.000895,344681.093125,0.101648
medium,3,20260405,-26869.6154,-26663.91,180,456,0.9383,3621.3,False,800,-0.000697,342726.755,0.098776
medium,4,20260406,-23696.0583,-23515.13,172,451,0.928,3680.0,False,800,-0.000549,224160.094609,0.103533
medium,5,20260407,-25533.2573,-25371.98,175,451,0.928,3590.2,False,800,-0.000857,195741.919687,0.095454
medium,6,20260408,-26679.7958,-26487.09,177,451,0.928,3585.1,False,800,-0.000751,136612.13875,0.117519
medium,7,20260409,-25810.5004,-25640.27,182,452,0.93,3590.2,False,800,-0.000743,107865.484453,0.122712
medium,8,20260410,-27785.2205,-27580.64,173,459,0.9444,3634.1,False,800,-0.000276,109897.006797,0.097413
medium,9,20260411,-26795.5917,-26622.16,182,455,0.9362,3554.0,False,800,-0.000664,113806.49375,0.096095
medium,10,20260412,-26543.7942,-26336.84,180,446,0.9177,3492.6,False,800,-0.000764,111651.3275,0.111873
medium,11,20260413,-26746.9243,-26561.97,179,454,0.9342,3580.8,False,800,-0.000534,153278.337734,0.123317
medium,12,20260414,-26005.6253,-25832.35,185,449,0.9239,3642.1,False,800,-0.000186,144187.593008,0.107233
medium,13,20260415,-24138.1387,-23978.81,182,442,0.9095,3642.5,False,800,-0.00031,124827.400508,0.116484
medium,14,20260416,-27516.4998,-27343.38,192,436,0.8971,3542.5,False,800,-0.000827,168215.890625,0.11398
medium,15,20260417,-26531.9253,-26336.42,172,450,0.9259,3724.0,False,800,-4.2e-05,143732.423633,0.123821
medium,16,20260418,-25805.0902,-25618.29,182,461,0.9486,3605.3,False,800,-5.4e-05,172261.864609,0.115037
medium,17,20260419,-26775.147,-26599.98,177,448,0.9218,3670.4,False,800,-0.000399,158686.454805,0.100295
medium,18,20260420,-26083.2701,-25899.34,173,454,0.9342,3710.8,False,800,-0.00097,152168.010352,0.097341
medium,19,20260421,-25414.0668,-25225.25,179,448,0.9218,3547.7,False,800,-0.00067,196075.003516,0.10246
medium,20,20260422,-26944.7507,-26771.34,183,447,0.9198,3577.5,False,800,-0.00018,162525.15332,0.111333
medium,21,20260423,-22265.6067,-22096.32,176,439,0.9033,3604.9,False,800,-0.000112,168078.267852,0.126281
medium,22,20260424,-26796.2005,-26611.08,173,462,0.9506,3622.2,False,800,-0.000243,171516.948281,0.123606
medium,23,20260425,-27926.2818,-27730.23,175,455,0.9362,3633.6,False,800,-0.000536,182705.753867,0.110268
medium,24,20260426,-25596.2266,-25421.43,174,453,0.9321,3680.4,False,800,-0.000596,147495.028242,0.099542
medium,25,20260427,-26549.4413,-26379.37,182,446,0.9177,3684.4,False,800,-0.002249,189428.595938,0.109403
medium,26,20260428,-28592.7699,-28394.91,179,456,0.9383,3666.3,False,800,-0.001088,206513.698594,0.107952
