stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,1,20260403,-9625.8832,-9691.38,150,125,0.7716,3031.1,False,800,-0.001166,106004.182188,0.195932
medium,2,20260404,-9308.413,-9367.32,158,118,0.7284,2977.6,False,800,-0.000827,104811.2875,0.193797
medium,3,20260405,-9303.3115,-9362.98,151,118,0.7284,3016.7,False,800,-0.000132,84590.047461,0.204535
medium,4,20260406,-11614.7843,-11661.62,151,125,0.7716,2979.7,False,800,-0.001323,75354.539707,0.203444
medium,5,20260407,-11181.297,-11232.22,143,129,0.7963,2958.8,False,800,-0.001324,47069.297461,0.175023
medium,6,20260408,-8749.4139,-8819.0,150,119,0.7346,3094.4,False,800,-0.001062,23566.673242,0.142048
medium,7,20260409,-9816.9416,-9867.28,141,125,0.7716,2890.8,False,800,-0.000468,32655.356621,0.162539
medium,8,20260410,-9837.3204,-9894.74,144,125,0.7716,3089.8,False,800,-0.000865,33707.734463,0.129289
medium,9,20260411,-9541.8898,-9607.02,151,118,0.7284,2978.6,False,800,-0.000414,19556.718721,0.133826
medium,10,20260412,-8589.4343,-8649.84,149,118,0.7284,2941.9,False,800,-0.000408,22190.644316,0.134336
medium,11,20260413,-8234.3065,-8299.59,152,115,0.7099,2948.6,False,800,-0.001191,16893.105898,0.125086
medium,12,20260414,-9597.0211,-9656.69,146,124,0.7654,2953.5,False,800,-0.000285,33881.395762,0.13692
medium,13,20260415,-8524.1415,-8598.23,154,114,0.7037,2982.0,False,800,-0.00043,15924.479668,0.154773
medium,14,20260416,-8870.6846,-8938.42,156,122,0.7531,2900.4,False,800,-0.000822,11333.055713,0.155136
medium,15,20260417,-8371.6991,-8427.17,140,116,0.716,2955.4,False,800,-0.000547,44891.093223,0.141478
medium,16,20260418,-9507.3907,-9562.16,150,115,0.7099,2952.6,False,800,-0.000389,19782.270781,0.154454
medium,17,20260419,-11220.8018,-11265.13,139,127,0.784,2912.5,False,800,-0.000978,40384.659102,0.147781
