stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,1,20260403,8826.3895,8700.18,158,9,0.0556,3266.87,False,800,-0.001049,38717.351641,0.129232
medium,2,20260404,9128.8857,8996.04,162,8,0.0494,3139.9,False,800,-0.000341,37747.040352,0.125111
medium,3,20260405,6856.631,6723.93,162,16,0.0988,3233.6,False,800,-0.000205,20644.756084,0.105006
medium,4,20260406,6818.5015,6693.2,162,16,0.0988,3221.9,False,800,-0.000575,11411.258936,0.120671
medium,5,20260407,4812.5444,4686.63,158,33,0.2037,3264.0,False,800,-0.001299,6224.028354,0.107505
medium,6,20260408,7410.7401,7270.69,161,18,0.1111,3409.13,False,800,-0.000455,7285.413716,0.094195
medium,7,20260409,5859.626,5739.52,156,30,0.1852,3204.33,False,800,-0.000492,10054.96585,0.13588
medium,8,20260410,4698.5254,4565.27,159,35,0.216,3435.7,False,800,-0.001736,6512.075034,0.089125
medium,9,20260411,7498.1345,7363.2,162,9,0.0556,3266.6,False,800,-0.000353,13950.198022,0.087949
medium,10,20260412,8703.6335,8575.81,162,10,0.0617,3283.6,False,800,-0.000456,8606.852065,0.093568
medium,11,20260413,8444.5835,8340.48,162,8,0.0494,3167.9,False,800,-0.000361,10369.963335,0.113959
medium,12,20260414,6985.0591,6856.24,162,11,0.0679,3296.63,False,800,-0.000234,16236.035327,0.09453
medium,13,20260415,9690.6562,9567.96,162,6,0.037,3180.8,False,800,-0.001295,15187.263584,0.104345
medium,14,20260416,10049.8675,9927.38,162,2,0.0123,3093.8,False,800,-0.000439,9539.157715,0.126642
medium,15,20260417,7097.9906,6966.25,158,18,0.1111,3327.3,False,800,-0.00019,9311.884375,0.097664
medium,16,20260418,8379.8324,8249.77,160,10,0.0617,3237.6,False,800,-0.001329,10554.571851,0.101712
