stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,1,20260403,4318.6782,4219.09,146,50,0.3086,2952.8,False,800,-0.000623,32307.680156,0.113657
medium,2,20260404,4750.4517,4668.28,152,45,0.2778,2855.1,False,800,-0.001414,25889.613848,0.131565
medium,3,20260405,308.3571,206.53,154,74,0.4568,3025.3,False,800,-0.000722,29882.499336,0.097478
medium,4,20260406,-384.0695,-473.92,148,84,0.5185,2918.4,False,800,-0.000638,22455.58749,0.125273
medium,5,20260407,-1021.3351,-1112.35,143,87,0.537,2934.4,False,800,-0.000464,14950.689946,0.112329
medium,6,20260408,1586.6629,1473.62,149,60,0.3704,3108.7,False,800,-0.000231,11768.151265,0.089729
medium,7,20260409,1551.6219,1460.65,144,71,0.4383,2934.6,False,800,-0.000544,9107.76437,0.1199
medium,8,20260410,-2972.0478,-3070.81,143,110,0.679,3070.0,False,800,-0.000525,8873.390034,0.096023
medium,9,20260411,154.7096,49.1,153,81,0.5,2993.8,False,800,-0.000609,7374.563569,0.095949
medium,10,20260412,4887.6498,4798.28,150,40,0.2469,2972.6,False,800,-0.00075,9351.427329,0.093355
medium,11,20260413,4643.0999,4553.41,153,48,0.2963,2962.0,False,800,-0.000529,7163.295342,0.09624
medium,12,20260414,-153.5779,-248.61,150,87,0.537,3020.2,False,800,-0.0004,11197.615591,0.097765
medium,13,20260415,7682.9819,7574.14,156,14,0.0864,3031.4,False,800,-0.001098,8332.177412,0.101393
medium,14,20260416,8253.1694,8149.67,156,15,0.0926,2925.9,False,800,-0.000493,9036.124346,0.111391
medium,15,20260417,1557.0922,1447.3,145,74,0.4568,3060.7,False,800,-0.000761,8291.854614,0.105913
medium,16,20260418,4054.0552,3938.91,152,52,0.321,3010.0,False,800,-0.001094,5768.114546,0.101246
medium,17,20260419,-2538.2107,-2640.19,144,99,0.6111,3045.8,False,800,-0.000611,9379.229883,0.095532
medium,18,20260420,878.8402,771.47,148,70,0.4321,3134.5,False,800,-0.000641,9792.362183,0.08629
medium,19,20260421,-1904.1774,-1998.42,143,96,0.5926,3010.1,False,800,-0.00036,11949.319077,0.093831
medium,20,20260422,6599.1004,6484.93,153,23,0.142,3047.2,False,800,-0.000953,5847.99551,0.093831
medium,21,20260423,1610.9527,1519.65,141,66,0.4074,3063.0,False,800,-0.000375,10441.415,0.099203
medium,22,20260424,3029.5327,2946.08,149,57,0.3519,2946.4,False,800,-0.000353,7734.639878,0.106643
medium,23,20260425,3149.6596,3039.73,148,48,0.2963,3090.0,False,800,-0.000509,7759.360933,0.089084
