scale,strategy,round,seed,total_score,completed_tasks,total_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,failure_tick,failure_reason,completion_rate
medium,genetic_hyper,1,354787187,-5588.84,162,162,67,0.4136,3013.3,False,,,1.0
medium,genetic_hyper,2,1866801784,-5717.17,152,162,77,0.4753,3104.2,False,,,0.9383
medium,genetic_hyper,3,736577488,-6430.95,159,162,68,0.4198,3162.0,False,,,0.9815
medium,genetic_hyper,4,108402446,-7089.76,152,162,80,0.4938,3121.1,False,,,0.9383
medium,genetic_hyper,5,550665828,-6344.74,162,162,71,0.4383,3069.0,False,,,1.0
medium,energy_aware_alns,1,354787187,-5475.49,162,162,101,0.6235,2745.7,False,,,1.0
medium,energy_aware_alns,2,1866801784,-5544.61,161,162,93,0.5741,3028.3,False,,,0.9938
medium,energy_aware_alns,3,736577488,-4781.36,160,162,93,0.5741,2876.8,False,,,0.9877
medium,energy_aware_alns,4,108402446,-8206.82,162,162,102,0.6296,3010.0,False,,,1.0
medium,energy_aware_alns,5,550665828,-4085.05,162,162,90,0.5556,2737.0,False,,,1.0
medium,time_first_bundle,1,354787187,-5436.54,162,162,67,0.4136,2971.4,False,,,1.0
medium,time_first_bundle,2,1866801784,-5379.11,152,162,75,0.463,3100.2,False,,,0.9383
medium,time_first_bundle,3,736577488,-6244.88,158,162,67,0.4136,3163.9,False,,,0.9753
medium,time_first_bundle,4,108402446,-7217.09,152,162,78,0.4815,3113.9,False,,,0.9383
medium,time_first_bundle,5,550665828,-4780.96,162,162,63,0.3889,3003.9,False,,,1.0
medium,max_weight,1,354787187,-6697.04,146,162,87,0.537,3112.1,False,,,0.9012
medium,max_weight,2,1866801784,-6186.02,136,162,84,0.5185,3163.5,False,,,0.8395
medium,max_weight,3,736577488,-6412.51,137,162,94,0.5802,3180.1,False,,,0.8457
medium,max_weight,4,108402446,-6559.15,136,162,87,0.537,3189.2,False,,,0.8395
medium,max_weight,5,550665828,-6159.94,148,162,83,0.5123,3183.1,False,,,0.9136
medium,nearest_task,1,354787187,-1117.34,148,162,64,0.3951,2942.0,False,,,0.9136
medium,nearest_task,2,1866801784,-3177.98,134,162,81,0.5,3000.6,False,,,0.8272
medium,nearest_task,3,736577488,-2376.01,139,162,73,0.4506,2936.9,False,,,0.858
medium,nearest_task,4,108402446,-3402.66,141,162,75,0.463,3127.9,False,,,0.8704
medium,nearest_task,5,550665828,-1616.49,148,162,63,0.3889,3052.4,False,,,0.9136
medium,mappo,1,354787187,389.35,52,162,115,0.7099,988.6,False,,,0.321
medium,mappo,2,1866801784,115.16,55,162,116,0.716,1028.4,False,,,0.3395
medium,mappo,3,736577488,-60.17,49,162,120,0.7407,958.0,False,,,0.3025
medium,mappo,4,108402446,-728.58,51,162,126,0.7778,1065.4,False,,,0.3148
medium,mappo,5,550665828,-226.42,52,162,120,0.7407,1070.0,False,,,0.321
