experiment,experiment_title,scale,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
extreme_load,极大负载实验,medium,genetic_hyper,5,0,0.0,-375.318,1214.8829,-2476.6,723.79,227.2,5.4185,221.0,237.0,486.0,0.0,486.0,486.0,290.6,4.4091,287.0,299.0,0.5979,0.0091,0.5905,0.6152,3443.0,25.3329,3404.5,3474.8,0.4675,0.0112,0.4547,0.4877
extreme_load,极大负载实验,medium,energy_aware_alns,5,0,0.0,-12435.988,6740.0263,-19520.82,-1691.0,230.0,18.7936,210.0,262.0,486.0,0.0,486.0,486.0,372.4,34.4593,321.0,413.0,0.7662,0.0709,0.6605,0.8498,3547.82,84.6869,3414.7,3667.4,0.4733,0.0387,0.4321,0.5391
extreme_load,极大负载实验,medium,time_first_bundle,5,0,0.0,653.426,1526.3492,-1854.81,2893.83,223.2,6.6151,215.0,234.0,486.0,0.0,486.0,486.0,290.2,6.1123,282.0,299.0,0.5971,0.0126,0.5802,0.6152,3435.8,45.5208,3385.2,3514.0,0.4593,0.0136,0.4424,0.4815
extreme_load,极大负载实验,medium,max_weight,5,0,0.0,-1533.56,609.5283,-2119.77,-716.53,173.4,5.1225,164.0,178.0,486.0,0.0,486.0,486.0,346.0,5.9666,338.0,356.0,0.7119,0.0123,0.6955,0.7325,3708.48,35.4754,3657.5,3740.7,0.3568,0.0106,0.3374,0.3663
extreme_load,极大负载实验,medium,nearest_task,5,0,0.0,3958.21,1533.6495,1619.09,6030.74,230.4,5.5353,222.0,237.0,486.0,0.0,486.0,486.0,286.2,8.0846,275.0,298.0,0.5889,0.0167,0.5658,0.6132,3397.64,25.6242,3358.6,3434.2,0.4741,0.0114,0.4568,0.4877
extreme_load,极大负载实验,medium,mappo,5,0,0.0,-8328.52,55.1358,-8408.55,-8240.51,3.2,0.7483,2.0,4.0,486.0,0.0,486.0,486.0,474.2,3.2496,470.0,478.0,0.9757,0.0067,0.9671,0.9835,65.76,7.2215,59.6,77.8,0.0066,0.0015,0.0041,0.0082
peak_gaussian,峰值实验,medium,genetic_hyper,5,0,0.0,-6234.292,541.6128,-7089.76,-5588.84,157.4,4.5431,152.0,162.0,162.0,0.0,162.0,162.0,72.6,5.0833,67.0,80.0,0.4482,0.0314,0.4136,0.4938,3093.92,50.1994,3013.3,3162.0,0.9716,0.028,0.9383,1.0
peak_gaussian,峰值实验,medium,energy_aware_alns,5,0,0.0,-5618.666,1398.398,-8206.82,-4085.05,161.4,0.8,160.0,162.0,162.0,0.0,162.0,162.0,95.8,4.7917,90.0,102.0,0.5914,0.0296,0.5556,0.6296,2879.56,124.4087,2737.0,3028.3,0.9963,0.0049,0.9877,1.0
peak_gaussian,峰值实验,medium,time_first_bundle,5,0,0.0,-5811.716,842.9792,-7217.09,-4780.96,157.2,4.49,152.0,162.0,162.0,0.0,162.0,162.0,70.0,5.5857,63.0,78.0,0.4321,0.0345,0.3889,0.4815,3070.66,71.7572,2971.4,3163.9,0.9704,0.0277,0.9383,1.0
peak_gaussian,峰值实验,medium,max_weight,5,0,0.0,-6402.932,208.3705,-6697.04,-6159.94,140.6,5.2764,136.0,148.0,162.0,0.0,162.0,162.0,87.0,3.8471,83.0,94.0,0.537,0.0237,0.5123,0.5802,3165.6,28.0718,3112.1,3189.2,0.8679,0.0326,0.8395,0.9136
peak_gaussian,峰值实验,medium,nearest_task,5,0,0.0,-2338.096,877.6217,-3402.66,-1117.34,142.0,5.4037,134.0,148.0,162.0,0.0,162.0,162.0,71.2,6.8235,63.0,81.0,0.4395,0.0421,0.3889,0.5,3011.96,71.7425,2936.9,3127.9,0.8766,0.0334,0.8272,0.9136
peak_gaussian,峰值实验,medium,mappo,5,0,0.0,-102.132,373.7421,-728.58,389.35,51.8,1.9391,49.0,55.0,162.0,0.0,162.0,162.0,119.4,3.8781,115.0,126.0,0.737,0.0239,0.7099,0.7778,1022.08,43.4512,958.0,1070.0,0.3198,0.012,0.3025,0.3395
random_traffic,随机堵车实验,medium,genetic_hyper,5,0,0.0,9053.984,762.6209,7801.53,10045.79,160.4,2.0591,157.0,162.0,162.0,0.0,162.0,162.0,6.8,4.4452,1.0,14.0,0.042,0.0274,0.0062,0.0864,3179.626,142.9146,2990.7,3339.63,0.9901,0.0127,0.9691,1.0
random_traffic,随机堵车实验,medium,energy_aware_alns,5,0,0.0,8813.06,732.0279,7491.89,9748.86,161.0,1.0954,159.0,162.0,162.0,0.0,162.0,162.0,9.6,5.5353,2.0,19.0,0.0593,0.0342,0.0123,0.1173,3111.88,150.3129,2908.0,3269.7,0.9938,0.0068,0.9815,1.0
random_traffic,随机堵车实验,medium,time_first_bundle,5,0,0.0,8552.906,1128.1064,6600.56,9679.4,159.6,2.5768,156.0,162.0,162.0,0.0,162.0,162.0,9.2,7.5736,1.0,22.0,0.0568,0.0468,0.0062,0.1358,3129.274,136.5109,2938.7,3249.9,0.9852,0.0159,0.963,1.0
random_traffic,随机堵车实验,medium,max_weight,5,0,0.0,5290.45,741.1125,4443.3,6656.51,150.8,6.0795,143.0,158.0,162.0,0.0,162.0,162.0,35.8,6.7052,23.0,42.0,0.221,0.0414,0.142,0.2593,3436.708,42.9707,3370.3,3485.3,0.9309,0.0375,0.8827,0.9753
random_traffic,随机堵车实验,medium,nearest_task,5,0,0.0,5847.604,929.9282,4943.54,7596.77,151.0,6.6633,144.0,159.0,162.0,0.0,162.0,162.0,31.4,9.8914,13.0,41.0,0.1938,0.0611,0.0802,0.2531,3408.58,44.3861,3324.7,3444.1,0.9321,0.0411,0.8889,0.9815
random_traffic,随机堵车实验,medium,mappo,5,0,0.0,4140.83,1560.9573,2600.53,6684.37,95.6,24.5324,73.0,136.0,162.0,0.0,162.0,162.0,67.2,23.7436,30.0,88.0,0.4148,0.1466,0.1852,0.5432,1896.92,495.2986,1503.0,2755.4,0.5901,0.1514,0.4506,0.8395
energy_rate_0_5,低耗电速率实验,medium,genetic_hyper,5,0,0.0,10171.122,180.5662,9946.81,10348.34,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3203.62,192.0225,2951.2,3441.0,1.0,0.0,1.0,1.0
energy_rate_0_5,低耗电速率实验,medium,energy_aware_alns,5,0,0.0,10064.778,357.6555,9623.12,10422.39,161.6,0.4899,161.0,162.0,162.0,0.0,162.0,162.0,1.2,1.1662,0.0,3.0,0.0074,0.0072,0.0,0.0185,3188.3,189.915,2960.7,3415.5,0.9975,0.003,0.9938,1.0
energy_rate_0_5,低耗电速率实验,medium,time_first_bundle,5,0,0.0,9962.414,235.0646,9601.55,10258.78,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,0.4,0.4899,0.0,1.0,0.0025,0.003,0.0,0.0062,3174.36,190.09,2948.1,3405.5,1.0,0.0,1.0,1.0
energy_rate_0_5,低耗电速率实验,medium,max_weight,5,0,0.0,8787.154,714.6948,7619.6,9519.06,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,7.0,4.0497,3.0,14.0,0.0432,0.025,0.0185,0.0864,3659.84,189.1914,3393.2,3952.6,1.0,0.0,1.0,1.0
energy_rate_0_5,低耗电速率实验,medium,nearest_task,5,0,0.0,8643.4,856.8261,7152.4,9364.64,162.0,0.0,162.0,162.0,162.0,0.0,162.0,162.0,8.8,5.4918,4.0,19.0,0.0543,0.0339,0.0247,0.1173,3650.06,187.6413,3415.8,3951.8,1.0,0.0,1.0,1.0
energy_rate_0_5,低耗电速率实验,medium,mappo,5,0,0.0,6536.384,1092.677,4371.93,7262.96,133.8,14.7431,123.0,162.0,162.0,0.0,162.0,162.0,35.8,7.0257,25.0,47.0,0.221,0.0434,0.1543,0.2901,2662.04,237.0267,2461.0,3030.3,0.8259,0.091,0.7593,1.0
