scale,strategy,round,seed,total_score,completed_tasks,total_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,failure_tick,failure_reason,completion_rate
medium,genetic_hyper,1,354787187,-4603.28,162,162,69,0.4259,3083.0,False,,,1.0
medium,genetic_hyper,2,1866801784,-3987.32,162,162,62,0.3827,2878.7,False,,,1.0
medium,genetic_hyper,3,736577488,-3429.07,162,162,62,0.3827,2829.5,False,,,1.0
medium,genetic_hyper,4,108402446,-3951.63,162,162,69,0.4259,3079.9,False,,,1.0
medium,genetic_hyper,5,550665828,-6817.04,162,162,73,0.4506,3145.2,False,,,1.0
medium,energy_aware_alns,1,354787187,-2835.1,162,162,74,0.4568,2852.8,False,,,1.0
medium,energy_aware_alns,2,1866801784,-1746.94,161,162,74,0.4568,2535.2,False,,,0.9938
medium,energy_aware_alns,3,736577488,-2717.79,160,162,89,0.5494,2561.7,False,,,0.9877
medium,energy_aware_alns,4,108402446,-1722.85,161,162,75,0.463,2763.4,False,,,0.9938
medium,energy_aware_alns,5,550665828,-5268.83,162,162,92,0.5679,2903.6,False,,,1.0
medium,time_first_bundle,1,354787187,-4393.35,162,162,68,0.4198,3065.6,False,,,1.0
medium,time_first_bundle,2,1866801784,-3794.26,162,162,61,0.3765,2876.5,False,,,1.0
medium,time_first_bundle,3,736577488,-3076.24,162,162,60,0.3704,2802.6,False,,,1.0
medium,time_first_bundle,4,108402446,-3477.04,162,162,68,0.4198,3042.5,False,,,1.0
medium,time_first_bundle,5,550665828,-6765.26,161,162,74,0.4568,3153.3,False,,,0.9938
medium,max_weight,1,354787187,-7739.46,152,162,87,0.537,3292.6,False,,,0.9383
medium,max_weight,2,1866801784,-5137.23,146,162,78,0.4815,3085.8,False,,,0.9012
medium,max_weight,3,736577488,-7815.27,158,162,81,0.5,3056.2,False,,,0.9753
medium,max_weight,4,108402446,-6832.19,150,162,89,0.5494,3266.8,False,,,0.9259
medium,max_weight,5,550665828,-7647.74,140,162,94,0.5802,3215.8,False,,,0.8642
medium,nearest_task,1,354787187,-1840.43,150,162,66,0.4074,3131.7,False,,,0.9259
medium,nearest_task,2,1866801784,-1230.97,151,162,64,0.3951,2902.2,False,,,0.9321
medium,nearest_task,3,736577488,-802.14,149,162,63,0.3889,2727.0,False,,,0.9198
medium,nearest_task,4,108402446,-879.43,152,162,59,0.3642,3131.5,False,,,0.9383
medium,nearest_task,5,550665828,-2240.85,141,162,68,0.4198,2981.5,False,,,0.8704
medium,mappo,1,354787187,-269.0,33,162,130,0.8025,651.2,False,,,0.2037
medium,mappo,2,1866801784,239.08,40,162,123,0.7593,666.4,False,,,0.2469
medium,mappo,3,736577488,-444.28,30,162,132,0.8148,535.4,False,,,0.1852
medium,mappo,4,108402446,-418.56,34,162,130,0.8025,644.6,False,,,0.2099
medium,mappo,5,550665828,-1000.26,25,162,138,0.8519,513.8,False,,,0.1543
