scale,strategy,round,seed,total_score,completed_tasks,total_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,failure_tick,failure_reason,completion_rate
medium,genetic_hyper,1,354787187,9232.12,162,162,6,0.037,3025.2,False,,,1.0
medium,genetic_hyper,2,1866801784,8694.93,159,162,9,0.0556,3280.6,False,,,0.9815
medium,genetic_hyper,3,736577488,10045.79,162,162,1,0.0062,3262.0,False,,,1.0
medium,genetic_hyper,4,108402446,7801.53,157,162,14,0.0864,3339.63,False,,,0.9691
medium,genetic_hyper,5,550665828,9495.55,162,162,4,0.0247,2990.7,False,,,1.0
medium,energy_aware_alns,1,354787187,8986.63,161,162,11,0.0679,2908.0,False,,,0.9938
medium,energy_aware_alns,2,1866801784,8896.47,161,162,8,0.0494,3161.9,False,,,0.9938
medium,energy_aware_alns,3,736577488,8707.61,161,162,11,0.0679,3226.7,False,,,0.9938
medium,energy_aware_alns,4,108402446,7491.89,159,162,19,0.1173,3258.2,False,,,0.9815
medium,energy_aware_alns,5,550665828,9748.86,162,162,2,0.0123,2961.6,False,,,1.0
medium,time_first_bundle,1,354787187,8347.31,162,162,11,0.0679,2988.1,False,,,1.0
medium,time_first_bundle,2,1866801784,8473.54,157,162,10,0.0617,3228.1,False,,,0.9691
medium,time_first_bundle,3,736577488,9679.4,161,162,2,0.0123,3249.9,False,,,0.9938
medium,time_first_bundle,4,108402446,6600.56,156,162,22,0.1358,3241.57,False,,,0.963
medium,time_first_bundle,5,550665828,9663.72,162,162,1,0.0062,2938.7,False,,,1.0
medium,max_weight,1,354787187,6656.51,158,162,23,0.142,3370.3,False,,,0.9753
medium,max_weight,2,1866801784,5120.38,145,162,40,0.2469,3407.5,False,,,0.8951
medium,max_weight,3,736577488,5306.67,151,162,36,0.2222,3476.07,False,,,0.9321
medium,max_weight,4,108402446,4925.39,143,162,42,0.2593,3444.37,False,,,0.8827
medium,max_weight,5,550665828,4443.3,157,162,38,0.2346,3485.3,False,,,0.9691
medium,nearest_task,1,354787187,7596.77,159,162,13,0.0802,3324.7,False,,,0.9815
medium,nearest_task,2,1866801784,4943.54,144,162,39,0.2407,3402.0,False,,,0.8889
medium,nearest_task,3,736577488,5879.75,148,162,32,0.1975,3436.6,False,,,0.9136
medium,nearest_task,4,108402446,5234.19,145,162,41,0.2531,3435.5,False,,,0.8951
medium,nearest_task,5,550665828,5583.77,159,162,32,0.1975,3444.1,False,,,0.9815
medium,mappo,1,354787187,-2916.0,0,162,162,1.0,0.0,False,,,0.0
medium,mappo,2,1866801784,-2862.0,0,162,159,0.9815,0.0,False,,,0.0
medium,mappo,3,736577488,-2880.0,0,162,160,0.9877,0.0,False,,,0.0
medium,mappo,4,108402446,-2844.0,0,162,158,0.9753,0.0,False,,,0.0
medium,mappo,5,550665828,-2808.0,0,162,156,0.963,0.0,False,,,0.0
