scale,strategy,round,seed,total_score,completed_tasks,total_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,failure_tick,failure_reason,completion_rate
medium,genetic_hyper,1,354787187,9825.39,162,162,3,0.0185,3020.6,False,,,1.0
medium,genetic_hyper,2,1866801784,9335.77,161,162,5,0.0309,3353.4,False,,,0.9938
medium,genetic_hyper,3,736577488,10267.31,162,162,1,0.0062,3286.0,False,,,1.0
medium,genetic_hyper,4,108402446,8980.25,161,162,7,0.0432,3451.9,False,,,0.9938
medium,genetic_hyper,5,550665828,10265.57,162,162,0,0.0,2980.0,False,,,1.0
medium,energy_aware_alns,1,354787187,9442.91,160,162,8,0.0494,2927.6,False,,,0.9877
medium,energy_aware_alns,2,1866801784,9541.65,161,162,4,0.0247,3285.7,False,,,0.9938
medium,energy_aware_alns,3,736577488,10167.36,162,162,1,0.0062,3275.2,False,,,1.0
medium,energy_aware_alns,4,108402446,8201.91,160,162,13,0.0802,3291.7,False,,,0.9877
medium,energy_aware_alns,5,550665828,10406.53,162,162,0,0.0,2987.7,False,,,1.0
medium,time_first_bundle,1,354787187,9463.46,162,162,4,0.0247,2973.0,False,,,1.0
medium,time_first_bundle,2,1866801784,9366.95,162,162,3,0.0185,3303.6,False,,,1.0
medium,time_first_bundle,3,736577488,10235.34,162,162,0,0.0,3275.2,False,,,1.0
medium,time_first_bundle,4,108402446,8622.94,160,162,8,0.0494,3376.5,False,,,0.9877
medium,time_first_bundle,5,550665828,9866.48,162,162,3,0.0185,2945.6,False,,,1.0
medium,max_weight,1,354787187,7547.76,161,162,16,0.0988,3483.6,False,,,0.9938
medium,max_weight,2,1866801784,6777.8,151,162,25,0.1543,3609.6,False,,,0.9321
medium,max_weight,3,736577488,5678.63,154,162,33,0.2037,3648.0,False,,,0.9506
medium,max_weight,4,108402446,5405.64,149,162,33,0.2037,3634.7,False,,,0.9198
medium,max_weight,5,550665828,6767.75,162,162,20,0.1235,3573.3,False,,,1.0
medium,nearest_task,1,354787187,7830.8,162,162,14,0.0864,3429.0,False,,,1.0
medium,nearest_task,2,1866801784,6776.45,149,162,24,0.1481,3594.8,False,,,0.9198
medium,nearest_task,3,736577488,6593.0,152,162,25,0.1543,3602.5,False,,,0.9383
medium,nearest_task,4,108402446,6401.42,152,162,29,0.179,3628.0,False,,,0.9383
medium,nearest_task,5,550665828,7317.95,162,162,21,0.1296,3486.8,False,,,1.0
medium,mappo,1,354787187,9713.02,160,162,5,0.0309,3007.6,False,,,0.9877
medium,mappo,2,1866801784,8888.16,160,162,9,0.0556,3388.8,False,,,0.9877
medium,mappo,3,736577488,9841.04,160,162,5,0.0309,3266.8,False,,,0.9877
medium,mappo,4,108402446,8907.99,160,162,7,0.0432,3426.2,False,,,0.9877
medium,mappo,5,550665828,9610.85,160,162,6,0.037,3053.8,False,,,0.9877
